id,value
trolls,
trolls.trump,94
trolls.i,70
trolls.hillary,63
trolls.people,47
trolls.you,42
trolls.the,37
trolls.like,32
trolls.vote,21
trolls.it,20
trolls.get,20
trolls.lady,19
trolls.she,19
trolls.gaga,19
trolls.world,18
trolls.supporters,17
trolls.lol,17
trolls.clinton,17
trolls.would,17
trolls.one,16
trolls.country,16
trolls.president,16
trolls.want,15
trolls.really,15
trolls.fuck,15
trolls.nazi,15
trolls.see,14
trolls.donald,14
trolls.time,14
trolls.lost,13
trolls.look,13
trolls.what,13
trolls.he,13
trolls.don,13
trolls.know,13
trolls.go,12
trolls.america,12
trolls.racist,12
trolls.win,12
trolls.and,12
trolls.make,11
trolls.god,11
trolls.stop,11
trolls.going,11
trolls.campaign,11
trolls.thank,11
trolls.good,11
trolls.right,11
trolls.us,11
trolls.evil,10
trolls.american,10
